State,District,Mean_NDVI
ANDAMAN & NICOBAR,North  & Middle Andaman,0.83
ANDAMAN & NICOBAR,South Andaman,0.85
ANDHRA PRADESH,Alluri Sitharama Raju,0.61
ANDHRA PRADESH,Anakapalli,0.56
ANDHRA PRADESH,Anantpur,0.36
ANDHRA PRADESH,Annamayya,0.5
ANDHRA PRADESH,Bapatla,0.61
ANDHRA PRADESH,Chittoor,0.53
ANDHRA PRADESH,East Godavari,0.61
ANDHRA PRADESH,Guntur,0.6
ANDHRA PRADESH,Kakinada,0.57
ANDHRA PRADESH,Konaseema,0.6
ANDHRA PRADESH,Krishna,0.58
ANDHRA PRADESH,Kurnool,0.6
ANDHRA PRADESH,Nandyal,0.39
ANDHRA PRADESH,NTR,0.47
ANDHRA PRADESH,Palnadu,0.55
ANDHRA PRADESH,Eluru,0.53
ANDHRA PRADESH,Prakasam,0.56
ANDHRA PRADESH,Sri Potti Sriramulu Nell*,0.5
ANDHRA PRADESH,Srikakulam,0.61
ANDHRA PRADESH,Tirupati,0.38
ANDHRA PRADESH,Visakhapatnam,0.52
ANDHRA PRADESH,Vizianagaram,0.62
ANDHRA PRADESH,West Godavari,0.51
ANDHRA PRADESH,Y.S.R.,0.53
ANDHRA PRADESH,Sri Sathya sai,0.53
ANDHRA PRADESH,Parvathipuram Manyam,0.46
ARUNACHAL PRADESH,Anjaw,0.62
ARUNACHAL PRADESH,Changlang,0.74
ARUNACHAL PRADESH,Upper Dibang Valley,0.57
ARUNACHAL PRADESH,East Kameng,0.62
ARUNACHAL PRADESH,Kurung Kumey,0.71
ARUNACHAL PRADESH,Lohit,0.63
ARUNACHAL PRADESH,Lower Dibang Valley,0.49
ARUNACHAL PRADESH,Papum Pare,0.79
ARUNACHAL PRADESH,Tawang,0.7
ARUNACHAL PRADESH,Tirap,0.67
ARUNACHAL PRADESH,Upper Siang,0.66
ARUNACHAL PRADESH,Upper Subansiri,0.8
ARUNACHAL PRADESH,West Kameng,0.63
